1. Marker ID: 13  , Average Detection Rate: 100.00%
2. Marker ID: 17  , Average Detection Rate: 100.00%
3. Marker ID: 49  , Average Detection Rate: 100.00%
4. Marker ID: 62  , Average Detection Rate: 100.00%
5. Marker ID: 41  , Average Detection Rate: 100.00%
6. Marker ID: 10  , Average Detection Rate: 99.97%
7. Marker ID: 23  , Average Detection Rate: 99.97%
8. Marker ID: 30  , Average Detection Rate: 99.91%
9. Marker ID: 69  , Average Detection Rate: 99.27%
10. Marker ID: 50  , Average Detection Rate: 99.27%
11. Marker ID: 64  , Average Detection Rate: 98.57%
12. Marker ID: 4   , Average Detection Rate: 98.51%
13. Marker ID: 48  , Average Detection Rate: 98.38%
14. Marker ID: 5   , Average Detection Rate: 98.23%
15. Marker ID: 40  , Average Detection Rate: 97.84%
16. Marker ID: 21  , Average Detection Rate: 97.80%
17. Marker ID: 1   , Average Detection Rate: 97.80%
18. Marker ID: 43  , Average Detection Rate: 97.68%
19. Marker ID: 63  , Average Detection Rate: 96.62%
20. Marker ID: 52  , Average Detection Rate: 96.40%
21. Marker ID: 2   , Average Detection Rate: 95.76%
22. Marker ID: 37  , Average Detection Rate: 95.61%
23. Marker ID: 33  , Average Detection Rate: 95.34%

24. Marker ID: 3   , Average Detection Rate: 93.57%

25. Marker ID: 25  , Average Detection Rate: 93.08%

26. Marker ID: 16  , Average Detection Rate: 92.10%

27. Marker ID: 32  , Average Detection Rate: 91.83%

28. Marker ID: 26  , Average Detection Rate: 91.55%

29. Marker ID: 38  , Average Detection Rate: 90.61%

30. Marker ID: 45  , Average Detection Rate: 90.49%

31. Marker ID: 6   , Average Detection Rate: 90.30%

32. Marker ID: 54  , Average Detection Rate: 90.07%

33. Marker ID: 61  , Average Detection Rate: 89.79%

34. Marker ID: 71  , Average Detection Rate: 89.48%

35. Marker ID: 15  , Average Detection Rate: 88.84%

36. Marker ID: 29  , Average Detection Rate: 88.84%

37. Marker ID: 66  , Average Detection Rate: 88.78%

38. Marker ID: 24  , Average Detection Rate: 88.44%

39. Marker ID: 65  , Average Detection Rate: 88.41%

40. Marker ID: 36  , Average Detection Rate: 88.05%

41. Marker ID: 12  , Average Detection Rate: 87.90%

42. Marker ID: 14  , Average Detection Rate: 86.46%

43. Marker ID: 18  , Average Detection Rate: 84.85%

44. Marker ID: 20  , Average Detection Rate: 84.76%

45. Marker ID: 55  , Average Detection Rate: 84.70%

46. Marker ID: 27  , Average Detection Rate: 83.50%

47. Marker ID: 51  , Average Detection Rate: 82.73%

48. Marker ID: 7   , Average Detection Rate: 82.71%

