Marker_ID,Detection_Rate,BlackBits,WhiteBits,RowTransitions,ColTransitions,BlackComponents,WhiteComponents,HorizontalSymmetry,VerticalSymmetry,Rotation90Similarity,Rotation180Similarity,Rotation270Similarity
13,100.0,9,7,5,7,1,3,0.625,0.375,0.5,0.375,0.5
17,100.0,12,4,4,2,1,1,1.0,0.5,0.625,0.5,0.625
49,100.0,11,5,5,4,1,3,0.375,0.625,0.5,0.625,0.5
62,100.0,13,3,4,5,1,3,0.625,0.625,0.625,0.625,0.625
41,100.0,11,5,8,4,1,3,0.375,0.625,0.625,0.375,0.625
10,99.97,7,9,5,3,1,1,0.875,0.625,0.625,0.625,0.625
23,99.97,8,8,7,4,1,3,0.5,0.25,0.625,0.5,0.625
30,99.91,11,5,8,3,1,3,0.375,0.625,0.5,0.375,0.5
69,99.27,9,7,6,4,1,3,0.625,0.875,0.625,0.625,0.625
50,99.27,10,6,8,5,2,4,0.5,0.75,0.625,0.5,0.625
64,98.57,9,7,8,4,2,2,0.375,0.625,0.5,0.375,0.5
4,98.51,8,8,8,7,3,4,0.5,0.25,0.375,0.5,0.375
48,98.38,10,6,6,5,1,3,0.5,0.5,0.25,0.75,0.25
5,98.23,6,10,6,6,2,3,0.5,0.5,0.5,0.5,0.5
40,97.84,10,6,4,6,1,2,0.5,0.5,0.375,0.5,0.375
21,97.8,9,7,6,6,1,4,0.625,0.875,0.625,0.625,0.625
1,97.8,8,8,5,8,3,2,0.75,0.5,0.375,0.5,0.375
43,97.68,9,7,6,7,2,3,0.375,0.625,0.5,0.375,0.5
63,96.62,11,5,6,6,2,3,0.375,0.375,0.375,0.625,0.375
52,96.4,9,7,8,5,2,3,0.375,0.625,0.5,0.125,0.5
2,95.76,8,8,6,5,3,3,0.25,0.5,0.375,0.5,0.375
37,95.61,7,9,2,4,1,1,0.875,0.125,0.5,0.125,0.5
33,95.34,7,9,3,9,2,3,0.625,0.625,0.625,0.625,0.625
3,93.57,9,7,8,4,2,3,0.875,0.125,0.5,0.125,0.5
25,93.08,9,7,6,7,2,3,0.625,0.625,0.625,0.625,0.625
16,92.1,9,7,9,3,3,2,0.625,0.875,0.625,0.625,0.625
32,91.83,5,11,4,6,2,2,0.625,0.625,0.625,0.375,0.625
26,91.55,8,8,7,5,3,2,0.25,0.5,0.5,0.5,0.5
38,90.61,7,9,4,6,3,1,0.875,0.625,0.625,0.625,0.625
45,90.49,6,10,6,4,3,1,0.5,0.75,0.625,0.25,0.625
6,90.3,7,9,6,7,3,2,0.625,0.375,0.5,0.375,0.5
54,90.07,12,4,4,5,2,3,0.75,0.5,0.625,0.5,0.625
61,89.79,6,10,5,8,3,3,0.5,0.25,0.375,0.5,0.375
71,89.48,5,11,6,5,3,2,0.375,0.375,0.625,0.625,0.625
15,88.84,8,8,6,6,3,1,0.5,0.5,0.5,0.5,0.5
29,88.84,7,9,5,6,2,2,0.625,0.625,0.375,0.625,0.375
66,88.78,10,6,6,5,2,2,0.5,0.75,0.625,0.5,0.625
24,88.44,5,11,4,5,2,1,0.625,0.625,0.375,0.625,0.375
65,88.41,7,9,7,6,3,3,0.375,0.625,0.5,0.375,0.5
36,88.05,9,7,6,7,3,3,0.375,0.375,0.625,0.375,0.625
12,87.9,7,9,4,7,3,1,0.625,0.375,0.5,0.375,0.5
14,86.46,10,6,7,8,3,4,0.5,0.25,0.375,0.5,0.375
18,84.85,7,9,7,7,4,2,0.375,0.625,0.5,0.625,0.5
20,84.76,9,7,6,8,2,4,0.625,0.375,0.625,0.375,0.625
55,84.7,8,8,6,7,3,3,0.75,0.5,0.375,0.5,0.375
27,83.5,9,7,11,5,4,4,0.125,0.625,0.5,0.375,0.5
51,82.73,9,7,9,5,3,3,0.375,0.375,0.5,0.625,0.5
7,82.71,8,8,5,7,4,1,0.5,0.25,0.5,0.5,0.5
58,82.13,9,7,7,7,4,3,0.625,0.625,0.625,0.625,0.625
44,81.96,10,6,6,6,2,2,0.5,0.5,0.5,0.5,0.5
35,81.13,11,5,6,8,2,5,0.875,0.375,0.5,0.375,0.5
70,79.21,7,9,6,7,3,2,0.625,0.625,0.375,0.625,0.375
72,78.63,10,6,5,6,2,3,0.5,0.25,0.625,0.5,0.625
59,77.53,5,11,6,6,5,2,0.625,0.625,0.625,0.625,0.625
28,75.91,11,5,6,5,3,3,0.375,0.625,0.5,0.375,0.5
67,74.81,10,6,9,7,3,5,0.25,0.5,0.5,0.5,0.5
39,74.22,9,7,8,9,4,5,0.125,0.375,0.25,0.625,0.25
31,73.38,7,9,8,5,4,2,0.375,0.375,0.625,0.625,0.625
60,73.05,4,12,5,4,3,1,0.75,0.5,0.625,0.5,0.625
9,72.05,6,10,6,6,4,1,0.5,0.5,0.5,0.5,0.5
0,71.99,8,8,8,6,4,3,0.25,0.5,0.375,0.25,0.375
11,71.52,9,7,6,6,3,3,0.375,0.375,0.5,0.375,0.5
47,70.62,9,7,8,8,5,3,0.625,0.625,0.625,0.375,0.625
53,70.3,5,11,6,7,4,1,0.625,0.625,0.625,0.375,0.625
8,70.09,4,12,6,6,4,3,0.5,0.5,0.5,0.5,0.5
56,68.72,11,5,7,7,3,4,0.625,0.625,0.5,0.625,0.5
19,67.68,5,11,6,5,3,1,0.625,0.625,0.375,0.625,0.375
68,66.77,9,7,7,7,2,4,0.375,0.625,0.375,0.375,0.375
46,61.33,6,10,5,9,4,3,0.5,0.25,0.5,0.5,0.5
57,59.63,8,8,6,10,4,4,0.75,0.0,0.5,0.25,0.5
85,100.0,3,13,6,1,1,1,0.625,0.875,0.75,0.625,0.75
107,100.0,12,4,5,3,1,2,0.5,0.75,0.5,0.5,0.5
110,100.0,13,3,2,4,1,2,0.625,0.625,0.75,0.625,0.75
126,100.0,11,5,2,7,1,2,0.625,0.375,0.5,0.375,0.5
112,100.0,10,6,3,5,1,2,0.5,0.25,0.5,0.5,0.5
140,100.0,11,5,4,5,1,2,0.625,0.625,0.375,0.625,0.375
118,100.0,13,3,4,4,1,3,0.625,0.625,0.75,0.625,0.75
80,99.97,9,7,5,3,1,2,0.375,0.625,0.375,0.375,0.375
115,99.97,12,4,3,7,1,3,0.75,0.5,0.5,0.5,0.5
136,99.94,9,7,3,7,2,1,0.875,0.625,0.25,0.625,0.25
87,99.94,5,11,5,5,2,2,0.625,0.625,0.5,0.625,0.5
99,99.82,8,8,3,8,2,2,0.5,0.75,0.375,0.5,0.375
121,99.36,10,6,3,5,1,2,0.5,0.5,0.5,0.25,0.5
142,99.02,7,9,4,8,2,2,0.625,0.375,0.5,0.375,0.5
120,98.87,11,5,3,8,2,3,0.625,0.375,0.5,0.625,0.5
108,98.84,11,5,6,6,2,3,0.625,0.625,0.625,0.375,0.625
